food_name_std,fdcId,usda_description,calories_kcal_100g,carbs_g_100g,protein_g_100g,fat_g_100g,match_source,usda_similarity_pct,dataType,query_used
0 5 cup blanched choy sum,170568,"Nuts, almonds, blanched",590.0,18.7,21.4,52.5,api_hit,,,
0 5 cup blueberries,747444,"Beans, Dry, Black (0% moisture)",,,24.4,1.45,api_hit,,,
0 5 oz cheese,747444,"Beans, Dry, Black (0% moisture)",,,24.4,1.45,api_hit,,,
1 2 avocado,174655,"Cereals, CREAM OF WHEAT, 2 1/2 minute cook time, dry",355.0,71.8,11.6,1.41,api_hit,,,
1 2 cup blueberries,170866,"Dessert topping, powdered, 1.5 ounce prepared with 1/2 cup milk",194.0,17.1,3.61,12.7,api_hit,,,
1 2 cup brocoli,170866,"Dessert topping, powdered, 1.5 ounce prepared with 1/2 cup milk",194.0,17.1,3.61,12.7,api_hit,,,
1 2 cup chicken rice,170866,"Dessert topping, powdered, 1.5 ounce prepared with 1/2 cup milk",194.0,17.1,3.61,12.7,api_hit,,,
1 2 cup egg noodles,170866,"Dessert topping, powdered, 1.5 ounce prepared with 1/2 cup milk",194.0,17.1,3.61,12.7,api_hit,,,
1 2 cup gai lan,170866,"Dessert topping, powdered, 1.5 ounce prepared with 1/2 cup milk",194.0,17.1,3.61,12.7,api_hit,,,
1 2 cup of quinoa,170866,"Dessert topping, powdered, 1.5 ounce prepared with 1/2 cup milk",194.0,17.1,3.61,12.7,api_hit,,,
1 2 cup okra,170866,"Dessert topping, powdered, 1.5 ounce prepared with 1/2 cup milk",194.0,17.1,3.61,12.7,api_hit,,,
1 2 cup pasta,170866,"Dessert topping, powdered, 1.5 ounce prepared with 1/2 cup milk",194.0,17.1,3.61,12.7,api_hit,,,
1 2 cup quinoa,170866,"Dessert topping, powdered, 1.5 ounce prepared with 1/2 cup milk",194.0,17.1,3.61,12.7,api_hit,,,
1 2 cup yogurt,170866,"Dessert topping, powdered, 1.5 ounce prepared with 1/2 cup milk",194.0,17.1,3.61,12.7,api_hit,,,
1 2 garlic mushrooms,174655,"Cereals, CREAM OF WHEAT, 2 1/2 minute cook time, dry",355.0,71.8,11.6,1.41,api_hit,,,
1 2 green beans,174655,"Cereals, CREAM OF WHEAT, 2 1/2 minute cook time, dry",355.0,71.8,11.6,1.41,api_hit,,,
1 2 slice bread,174655,"Cereals, CREAM OF WHEAT, 2 1/2 minute cook time, dry",355.0,71.8,11.6,1.41,api_hit,,,
1 2 sliced beef,174655,"Cereals, CREAM OF WHEAT, 2 1/2 minute cook time, dry",355.0,71.8,11.6,1.41,api_hit,,,
1 3 apple,173172,"Beverages, UNILEVER, SLIMFAST Shake Mix, powder, 3-2-1 Plan",448.0,73.9,8.13,13.3,api_hit,,,
1 3 slice of bread,173172,"Beverages, UNILEVER, SLIMFAST Shake Mix, powder, 3-2-1 Plan",448.0,73.9,8.13,13.3,api_hit,,,
1 4 cup cashew nuts,2515374,"Nuts, cashew nuts, raw",,36.3,17.4,38.9,api_hit,,,
1 4 cup mixed nuts,170772,"WENDY'S, DAVE'S Hot 'N Juicy 1/4 LB, single",268.0,17.7,13.7,15.8,api_hit,,,
