food_text_raw,food_name_std,meal_id,event_id,assumption_reason,usda_match_status
5 pretzels,pretzels,21,d68a8c8b6c55,inferred_unit_count_missing_unit,matched
5 pretzels,pretzels,22,fe8cc9a59944,inferred_unit_count_missing_unit,matched
3 pretzels,pretzels,27,ae1d94a1e50d,inferred_unit_count_missing_unit,matched
3 pretzels,pretzels,31,66c9f9812c83,inferred_unit_count_missing_unit,matched
5 pretzels,pretzels,34,eb483700af58,inferred_unit_count_missing_unit,matched
2 pretzels,pretzels,40,48e233f74ba8,inferred_unit_count_missing_unit,matched
3 pretzels,pretzels,49,131dc62edd22,inferred_unit_count_missing_unit,matched
2 pretzels,pretzels,60,f563ab9f2332,inferred_unit_count_missing_unit,matched
2 pretzels,pretzels,85,3d639e953fb1,inferred_unit_count_missing_unit,matched
3 pretzels,pretzels,91,25bced6a10c1,inferred_unit_count_missing_unit,matched
5 pretzels,pretzels,92,bbbe44543550,inferred_unit_count_missing_unit,matched
3 pretzels,pretzels,121,ea927af931e3,inferred_unit_count_missing_unit,matched
2 pretzels,pretzels,122,3f8b465ffa55,inferred_unit_count_missing_unit,matched
2 pretzels,pretzels,157,efa072ab2fd3,inferred_unit_count_missing_unit,matched
1/4 wonton noodles,noodles,87,611fb5c8548d,missing_grams_per_count,matched
chia,chia seeds,65,61baf4b7a337,default_chia_3tsp,missing
chia,chia seeds,160,49c5c7ea140b,default_chia_3tsp,missing
hemp,hempseed,65,61baf4b7a337,default_flax_hemp_3tsp,missing
flax,flax seed,65,61baf4b7a337,default_flax_hemp_3tsp,missing
flax,flax seed,160,49c5c7ea140b,default_flax_hemp_3tsp,missing
hemp,hempseed,160,49c5c7ea140b,default_flax_hemp_3tsp,missing
fasting,,2,438a07049295,default_missing_qty_unit_100g,missing
fasting,,4,01fa195cc08d,default_missing_qty_unit_100g,missing
none,none,5,64ebce04833e,default_missing_qty_unit_100g,missing
none,none,6,5bf626f28400,default_missing_qty_unit_100g,missing
wonton wrappers,wrappers,7,106e551095ec,default_missing_qty_unit_100g,missing
fasting,,8,d3dfb0abefbb,default_missing_qty_unit_100g,missing
fasting,,12,39f5975648e2,default_missing_qty_unit_100g,missing
(see protein),,19,0ae50f3b9a6a,default_missing_qty_unit_100g,missing
spring roll,spring,21,d68a8c8b6c55,default_missing_qty_unit_100g,missing
cheese in eggs,cheese eggs,33,41c4a20101e0,default_missing_qty_unit_100g,missing
soup wonton noodles,soup noodles,44,8d5559c58467,default_missing_qty_unit_100g,missing
beef tendon/brisket,beef tendon/brisket,44,8d5559c58467,default_missing_qty_unit_100g,missing
fasting,,48,7a9339c778df,default_missing_qty_unit_100g,missing
fasting,,51,b016438a4abc,default_missing_qty_unit_100g,missing
crackers,crackers,53,25599ce57245,default_missing_qty_unit_100g,missing
fasting,,55,9229626448f5,default_missing_qty_unit_100g,missing
fasting,,59,7a93702cf9e6,default_missing_qty_unit_100g,missing
fried fish,fried fish,61,1fadb7d0da5a,default_missing_qty_unit_100g,missing
beef,beef,61,1fadb7d0da5a,default_missing_qty_unit_100g,missing
pork,pork,61,1fadb7d0da5a,default_missing_qty_unit_100g,missing
ground pork,ground pork,61,1fadb7d0da5a,default_missing_qty_unit_100g,missing
fasting,,63,b314cd62fa9c,default_missing_qty_unit_100g,missing
bluebeery,bluebeery,65,61baf4b7a337,default_missing_qty_unit_100g,missing
fasting,,67,986b9636c58e,default_missing_qty_unit_100g,missing
fasting,,72,efc15fc9b408,default_missing_qty_unit_100g,missing
fasting,,76,8e167c47301a,default_missing_qty_unit_100g,missing
fasting,,80,485cea8f5553,default_missing_qty_unit_100g,missing
fasting,,84,896883aecacf,default_missing_qty_unit_100g,missing
beef brisket,beef brisket,86,fe804b6b1dac,default_missing_qty_unit_100g,missing
tendon,tendon,86,fe804b6b1dac,default_missing_qty_unit_100g,missing
fasting,,88,32b464bfe1a1,default_missing_qty_unit_100g,missing
cashew nuts,cashew nuts,92,bbbe44543550,default_missing_qty_unit_100g,missing
