food_text_raw,food_name_std,meal_id,event_id,sheet_source,assumption_reason,usda_match_status
3 pretzels,pretzels,49,131dc62edd22,Dec25 Jan26,inferred_unit_count_missing_unit,matched
fasting,,2,438a07049295,Dec25 Jan26,default_missing_qty_unit_100g,missing
fasting,,4,01fa195cc08d,Dec25 Jan26,default_missing_qty_unit_100g,missing
none,none,5,64ebce04833e,Dec25 Jan26,default_missing_qty_unit_100g,missing
none,none,6,5bf626f28400,Dec25 Jan26,default_missing_qty_unit_100g,missing
wonton wrappers,wrappers,7,106e551095ec,Dec25 Jan26,default_missing_qty_unit_100g,missing
fasting,,8,d3dfb0abefbb,Dec25 Jan26,default_missing_qty_unit_100g,missing
fasting,,48,7a9339c778df,Dec25 Jan26,default_missing_qty_unit_100g,missing
fasting,,51,b016438a4abc,Dec25 Jan26,default_missing_qty_unit_100g,missing
crackers,crackers,53,25599ce57245,Dec25 Jan26,default_missing_qty_unit_100g,missing
fasting,,55,9229626448f5,Dec25 Jan26,default_missing_qty_unit_100g,missing
fasting,,193,edef9dded5d3,Feb2026,default_missing_qty_unit_100g,missing
pork patty,pork patty,197,b56193c807a4,Feb2026,default_missing_qty_unit_100g,missing
fasting,,198,c645a242d53b,Feb2026,default_missing_qty_unit_100g,missing
2 eggs,eggs,1,91ed4476c418,Dec25 Jan26,inferred_unit_count_missing_unit,missing
1 kiwi,kiwi,3,ca24887fcd70,Dec25 Jan26,inferred_unit_count_missing_unit,missing
1 kiwi,kiwi,7,106e551095ec,Dec25 Jan26,inferred_unit_count_missing_unit,missing
2 eggs,eggs,9,fb6893e31123,Dec25 Jan26,inferred_unit_count_missing_unit,missing
1 kiwi,kiwi,10,9162cb29e8ec,Dec25 Jan26,inferred_unit_count_missing_unit,missing
2 eggs,eggs,13,b9bc5cb4526c,Dec25 Jan26,inferred_unit_count_missing_unit,missing
2 eggs,eggs,49,131dc62edd22,Dec25 Jan26,inferred_unit_count_missing_unit,missing
3 eggs,eggs,52,9e325a87788a,Dec25 Jan26,inferred_unit_count_missing_unit,missing
9 olives,olives,53,25599ce57245,Dec25 Jan26,inferred_unit_count_missing_unit,missing
1 kiwi,kiwi,54,577631dabfcd,Dec25 Jan26,inferred_unit_count_missing_unit,missing
2 eggs,eggs,56,51b016f1e24a,Dec25 Jan26,inferred_unit_count_missing_unit,missing
2 eggs,eggs,194,98e43c4d2604,Feb2026,inferred_unit_count_missing_unit,missing
2 eggs,eggs,196,2631b6d81ef4,Feb2026,inferred_unit_count_missing_unit,missing
2 eggs,eggs,199,5db452e25f23,Feb2026,inferred_unit_count_missing_unit,missing
2 large eggs,large eggs,5,64ebce04833e,Dec25 Jan26,inferred_unit_cup_missing_unit,missing
8 pork wontons,pork,7,106e551095ec,Dec25 Jan26,inferred_unit_cup_missing_unit,missing
